"Province","Population"
"Aceh","5247257"
"Bali","4216171"
"Banten","10722374"
"Bengkulu","1999539"
"DKI Jakarta","10846145"
"Daerah Istimewa Yogyakarta","3631015"
"Jambi","3493357"
"Jawa Barat","45161325"
"Jawa Tengah","36364072"
"Jawa Timur","40479023"
"Kalimantan Barat","5422814"
"Kalimantan Selatan","4023049"
"Kalimantan Tengah","2570289"
"Kalimantan Timur","3552191"
"Kalimantan Utara","648407"
"Kepulauan Bangka Belitung","1379767"
"Kepulauan Riau","1929400"
"Lampung","9095591"
"Maluku","1847097"
"Maluku Utara","1307803"
"Nusa Tenggara Barat","5270247"
"Nusa Tenggara Timur","5411321"
"Papua","4340348"
"Papua Barat","1140701"
"Riau","6074100"
"Sulawesi Barat","1559984"
"Sulawesi Selatan","9426885"
"Sulawesi Tengah","2955567"
"Sulawesi Tenggara","2635461"
"Sulawesi Utara","2641884"
"Sumatera Barat","5519245"
"Sumatera Selatan","8217551"
"Sumatera Utara","14874889"
